STATION,NAME,DATE,TMAX,TMIN,TAVG,PRCP
USR0000CWPK,"WHITAKER PEAK CALIFORNIA, CA US",2022-01-05,52.0,57.0,47.0,
US1CALA0113,"HIDDEN HILLS 6.0 ENE, CA US",2022-01-05,,,,
USC00049785,"WOODLAND HILLS PIERCE COLLEGE, CA US",2022-01-05,,74.0,40.0,71.0
USC00042214,"CULVER CITY, CA US",2022-01-05,,64.0,45.0,59.0
USC00040144,"ALTADENA, CA US",2022-01-05,,,,
US1CALA0081,"GLENDORA 1.4 ESE, CA US",2022-01-05,,,,
USC00047776,"SAN GABRIEL CANYON PH, CA US",2022-01-05,,,,
USR0000CCLE,"CLEAR CREEK CALIFORNIA, CA US",2022-01-05,60.0,66.0,53.0,
USC00046624,"PALMDALE, CA US",2022-01-05,,61.0,36.0,37.0
USR0000CWAR,"WARM SPRINGS CALIFORNIA, CA US",2022-01-05,54.0,64.0,49.0,
USR0000CWHH,"WHITTIER HILLS CALIFORNIA, CA US",2022-01-05,60.0,72.0,51.0,
USR0000CBEV,"BEVERLY HILLS CALIFORNIA, CA US",2022-01-05,61.0,72.0,52.0,
USW00023130,"VAN NUYS AIRPORT, CA US",2022-01-05,,75.0,48.0,
USR0000CCP9,"CAMP 9 CALIFORNIA, CA US",2022-01-05,53.0,61.0,48.0,
USC00046663,"PALOS VERDES ES FC43D, CA US",2022-01-05,,,,
USR0000CSAU,"SAUGUS CALIFORNIA, CA US",2022-01-05,59.0,67.0,52.0,
US1CALA0036,"PASADENA 2.0 SE, CA US",2022-01-05,,,,
USR0000CLTU,"LITTLE TUJUNGA CALIFORNIA, CA US",2022-01-05,60.0,73.0,49.0,
USW00023129,"LONG BEACH DAUGHERTY AIRPORT, CA US",2022-01-05,,66.0,43.0,
US1CALA0091,"PASADENA 0.8 ENE, CA US",2022-01-05,,,,
US1CALA0048,"SANTA MONICA 1.3 NNE, CA US",2022-01-05,,,,
